episode	Trey	Phil	Jason	Cale	Daniel
1.12 - The Menagerie	2	3	4	2	2
1.13 - The Conscience of the King	1	2	2	3	2
1.14 - Balance of Terror	4	4	5	5	4
1.15 - Shore Leave	2	3	2	2	3
1.16 - The Galileo Seven	3	4	3	3	3
1.17 - The Squire of Gothos	3	3	3	4	2
1.18 - Arena	2	2	2	4	2
1.19 - Tomorrow Is Yesterday	1	2	2	4	2
1.20 - Court Martial	3	3	3	5	2
1.21 - The Return of the Archons	3	3	4	4	1
1.22 - Space Seed	5	5	5	3	3
1.23 - A Taste of Armageddon	2	3	4	5	2
1.24 - This Side of Paradise	3	3	3	4	3
1.25 - The Devil in the Dark	4	4	5	5	4
1.26 - Errand of Mercy	4	4	3	4	4
1.27 - The Alternative Factor	1	1	2	2	1
1.28 - The City on the Edge of Forever	5	5	5	3	3
1.29 - Operation: Annihilate!	2	2	4	2	3
2.1 - Amok time	5	4	4	4	2
2.2 - Who Mourns for Adonais?	1	3	2	3	2
2.3 - The Changeling	3	3	3	3	3
2.4 - Mirror, Mirror	2	4	3	5	3
2.5 - The Apple	1	1	1	1	1
2.6 - The Doomsday Machine	3	4	4	5	3
2.7 - Catspaw	4	3	3	1	2
2.8 - I, Mudd	3	3	3	4	2
2.9 - Metamorphosis	3	3	2	4	2
2.10 - Journey to Babel	5	5	5	3	4
2.11 - Fridayâ€™s Child	2	4	4	4	3
2.12 - The Deadly Years	2	3	3	3	2
2.13 - Obsession	3	2	4	4	2
2.14 - Wolf in the Fold	2	2	2	3	2
2.15 - The Trouble With Tribbles	4	4	4	3	3
2.16 - The Gamesters of Triskelion	2	2	3	2	2
2.17 - A Piece of the Action	3	3	3	4	1
2.18 - The Immunity Syndrome	4	4	5	5	2
2.19 - A Private Little War	4	2	3	2	4
2.20 - Return to Tomorrow	4	4	4	4	3
2.21 - Patterns of Force	1	3	5	4	2
2.22 - By Any Other Name	3	3	4	3	2
2.23 - The Omega Glory	1	2	2	3	1
2.24 - The Ultimate Computer	3	2	3	2	2
2.25 - Bread and Circuses	2	3	3	3	2
2.26 - Assignment: Earth	4	2	2	3	3
3.1 - Spock's Brain	2	2	3	4	2
3.2 - The Enterprise Incident	3.8	4	4.2	5	3